_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
727e9c79-9f5f-4c0f-acc1-2fcd9fe95c13,GCA024,Agroecologia,5,75,"25-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS NATURAIS, MATEMÁTICA E CIÊNCIAS AGRÁRIAS - LARANJEIRAS DO SUL - 2010/2",7,Sim,Não,Laranjeiras do Sul,2541,5000395,"INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS NATURAIS, MATEMÁTICA E CIÊNCIAS AGRÁRIAS",NOTURNO,Não,Sim,2020-01-21
2ece8564-0f5b-4eaf-b15b-f97894a31847,GCA025,Agroecologia I,4,60,5-AGRONOMIA - CHAPECÓ - 2010/2,6,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
259c0754-b4ec-40c6-947f-a8f4ad91c406,GCA025,Agroecologia I,4,60,36-AGRONOMIA - ERECHIM - 2010/1,4,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
54e26c4f-d4a4-4a3b-b56f-93a310e51594,GCA025,Agroecologia I,4,60,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
1ecf1f41-919e-4e76-b5b2-55e2de273d53,GCA026,Agroecologia II,4,60,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,8,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
c96fdec8-1296-499e-8fb3-b061c66fe361,GCA026,Agroecologia II,4,60,36-AGRONOMIA - ERECHIM - 2010/1,8,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
742deb52-b7fd-409c-9d8c-d534735d53f0,GCA026,Agroecologia II,4,60,77-AGRONOMIA - CERRO LARGO - 2017/1,0,Não,Sim,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
0afeca90-1229-4a90-afa9-ca426cabf760,GCA026,Agroecologia II,4,60,32-AGRONOMIA - CERRO LARGO - 2010/1,8,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
93d10d33-8da1-46a0-bd1f-4c4864fb6105,GCA027,Mecanização,4,60,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
de8bf17b-526b-4507-ae2a-4b140d8dbc1b,GCA028,Mecanização e máquinas agrícolas,4,60,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
